"ra","dec","magnitude","class","z","x","y"
"164.8781","28.281379","15.97296","STAR","3.780786E-05","317.7175","-23.18755"
"162.25598","29.541017","16.17684","STAR","0.0002373934","-183.6067","250.0784"
"162.41955","29.102669","16.54812","STAR","-0.0001292831","-153.0464","154.0786"
"163.70473","28.215485","16.59075","STAR","0.0006720982","92.1977","-39.44954"
"161.90032","28.006243","16.62361","STAR","0.0006485584","-254.5867","-83.87747"
"162.33507","27.260289","17.026","STAR","-0.0001747596","-172.2334","-247.3197"
"163.12053","28.03937","17.17401","STAR","-0.0005502251","-19.82717","-77.92243"
"164.30959","27.585581","17.23396","STAR","0.0002422925","209.6965","-176.0217"
"162.80467","29.730225","17.26971","STAR","-0.000389815","-79.33701","290.6671"
"163.74523","27.130453","17.29482","STAR","2.308619E-05","101.1571","-276.0046"
"164.25152","28.069039","17.31874","STAR","0.0004754109","197.4882","-70.73165"
"164.27915","27.309108","17.3247","STAR","-7.633205E-05","204.4898","-236.4978"
"162.02694","28.398431","17.40964","STAR","0.000127375","-229.3088","1.322249"
"163.5801","29.831135","17.41504","STAR","-0.0006349855","67.41919","312.7707"
"163.91364","27.285941","17.43623","STAR","0.0002150211","133.5995","-241.8798"
"164.41232","29.260157","17.50843","STAR","-4.994967E-05","226.0105","189.1323"
"163.33382","28.793781","17.50864","STAR","0.0002940834","20.97278","86.19025"
"162.07494","28.576408","17.59064","GALAXY","1.194259","-219.734","39.9976"
"163.08345","29.29502","17.62178","STAR","0.0006169103","-26.65656","195.444"
"164.52398","29.270578","17.6736","GALAXY","0.8461279","247.3225","191.7053"
"163.38635","29.162534","17.76552","STAR","0.000360004","30.90307","166.5607"
"164.34479","29.446411","17.82898","QSO","1.513848","212.8884","229.7112"
"162.4542","27.440546","17.85079","STAR","4.400928E-05","-148.7996","-208.0367"
"162.37036","27.998977","17.89987","STAR","0.0004487345","-164.0798","-86.22366"
"162.0701","29.175668","17.97659","QSO","1.319989","-219.4922","170.6206"
"162.13498","29.112178","18.05855","QSO","0.7291974","-207.229","156.6335"
"163.70287","27.963792","18.09982","QSO","1.651793","92.10096","-94.23886"
"164.02893","29.480498","18.32274","QSO","0.9159573","152.7545","236.5038"
"163.29807","29.802304","18.36013","QSO","3.795496","14.06488","306.2802"
"162.77732","28.126905","18.41808","QSO","1.125238","-85.65346","-58.73757"
"163.85683","28.317488","18.42472","QSO","2.28884","121.2804","-17.12244"
"163.15228","28.875462","18.44232","QSO","2.196876","-13.61362","103.9748"
"163.15196","28.176137","18.52561","QSO","2.064325","-13.75766","-48.15726"
"163.94293","27.956015","18.59249","QSO","1.441201","138.3046","-95.73866"
"162.2386","27.875174","18.62488","QSO","3.059183","-189.6566","-113.0094"
"162.66045","28.572868","18.63223","QSO","3.433691","-107.6369","38.39248"
"164.8408","28.24452","18.66717","QSO","2.625721","310.62","-31.31406"
"163.21904","27.043233","18.69304","GALAXY","0.9990593","-0.9234613","-295.2362"
"164.66844","27.867831","18.78968","QSO","0.4107575","278.4134","-113.8462"
"162.24607","29.467885","18.80144","QSO","1.708919","-185.5543","234.0866"
"162.96843","29.459052","18.82296","QSO","0.7256114","-48.4216","231.2624"
"163.38531","29.627117","18.85855","QSO","2.083119","30.60375","267.9208"
"162.41468","28.288127","18.86308","GALAXY","0.9458218","-155.1025","-23.31314"
"162.29841","28.43887","18.86546","QSO","1.000566","-177.1518","9.671134"
"164.80975","28.501543","18.93519","QSO","1.828271","303.8618","24.65186"
"161.67815","28.433541","18.94278","QSO","1.486369","-296.249","9.745075"
"164.74202","27.801253","18.96536","QSO","2.028047","292.9186","-128.2517"
"164.53783","27.792067","19.03372","QSO","2.378165","253.3448","-130.6093"
"163.92268","27.967011","19.07025","QSO","1.440192","134.3913","-93.36356"
"162.16151","27.897991","19.07686","STAR","0.000494156","-204.4852","-107.9272"
"163.53817","26.991268","19.08267","QSO","1.29915","61.10488","-306.6068"
"164.53783","27.981437","19.0965","GALAXY","0.5525439","252.8277","-89.32104"
"162.43902","28.973156","19.10479","QSO","2.974667","-149.4901","125.8299"
"162.43667","29.047287","19.12677","QSO","0.430056","-149.8419","141.9866"
"162.24384","27.961316","19.1452","QSO","2.128311","-188.4847","-94.24958"
"163.06847","28.748112","19.16522","QSO","2.184696","-29.60948","76.2627"
"163.34302","28.818272","19.20146","QSO","1.529433","22.73562","91.52665"
"161.83893","28.42603","19.20362","GALAXY","0.7484805","-265.3403","7.723619"
"164.04544","29.203798","19.21322","QSO","0.7919655","156.2306","176.1386"
"163.03181","28.199993","19.22231","QSO","0.563936","-36.78177","-42.94568"
"162.6947","28.039288","19.26533","QSO","1.715473","-101.616","-77.75723"
"163.29372","29.158655","19.28212","QSO","1.895414","13.30544","165.6958"
"164.32347","28.638632","19.3205","QSO","0.8566443","210.2017","53.44801"
"163.10475","27.757456","19.34531","QSO","1.484095","-22.91702","-139.3271"
"162.80471","28.357892","19.3786","QSO","1.863405","-80.20392","-8.497176"
"163.89682","27.313424","19.38633","QSO","1.877783","130.3099","-235.881"
"163.6474","28.053108","19.42168","QSO","1.502795","81.35143","-74.82159"
"163.49341","28.228703","19.42603","QSO","1.15181","51.67196","-36.67901"
"163.56047","27.273598","19.42789","QSO","0.810686","65.2056","-244.784"
"163.03523","28.009828","19.43203","QSO","2.123783","-36.2029","-84.33133"
"162.98604","28.836103","19.48934","QSO","1.330911","-45.30278","95.45403"
"163.90514","27.378759","19.51284","QSO","0.5020303","131.8248","-221.6075"
"163.29982","29.276487","19.58712","QSO","0.6728113","14.45161","191.389"
"163.69679","28.124586","19.61542","QSO","1.116489","90.77222","-59.23227"
"164.4439","27.43873","19.62175","QSO","3.219589","236.1581","-207.9411"
"164.33478","27.409628","19.62264","QSO","2.039519","215.0357","-214.4289"
"164.34231","27.797895","19.65714","QSO","1.752187","215.551","-129.6625"
"162.99933","27.301882","19.69023","QSO","2.342705","-43.43646","-238.6465"
"163.67846","28.879796","19.72705","QSO","1.904728","86.65953","105.1107"
"163.87119","28.826281","19.74366","QSO","3.722227","123.4754","93.64814"
"163.82101","28.405193","19.76968","QSO","3.021871","114.3136","1.92915"
"164.50875","28.134734","19.7719","QSO","1.725004","246.8509","-55.96494"
"162.03423","28.635398","19.78269","GALAXY","1.12928","-227.4077","52.92581"
"162.29096","28.673033","19.79301","QSO","1.924113","-178.1967","60.67335"
"163.45802","28.940998","19.80531","QSO","1.559689","44.61811","118.2999"
"163.78919","27.642035","19.82626","QSO","3.20871","109.0811","-164.2908"
"164.39226","28.064234","19.83148","QSO","2.116544","224.5906","-71.54026"
"164.12502","28.659485","19.90369","QSO","0.5986422","172.1953","57.66133"
"163.6129","27.047377","19.92985","QSO","1.099798","75.57154","-294.2643"
"164.41351","29.203126","19.95655","GALAXY","0.5831097","226.3302","176.6781"
