"x","y"
"317.7175","-23.18755"
"-183.6067","250.0784"
"-153.0464","154.0786"
"92.1977","-39.44954"
"-254.5867","-83.87747"
"-172.2334","-247.3197"
"-19.82717","-77.92243"
"209.6965","-176.0217"
"-79.33701","290.6671"
"101.1571","-276.0046"
"197.4882","-70.73165"
"204.4898","-236.4978"
"-229.3088","1.322249"
"67.41919","312.7707"
"133.5995","-241.8798"
"226.0105","189.1323"
"20.97278","86.19025"
"-219.734","39.9976"
"-26.65656","195.444"
"247.3225","191.7053"
"30.90307","166.5607"
"212.8884","229.7112"
"-148.7996","-208.0367"
"-164.0798","-86.22366"
"-219.4922","170.6206"
"-207.229","156.6335"
"92.10096","-94.23886"
"152.7545","236.5038"
"14.06488","306.2802"
"-85.65346","-58.73757"
"121.2804","-17.12244"
"-13.61362","103.9748"
"-13.75766","-48.15726"
"138.3046","-95.73866"
"-189.6566","-113.0094"
"-107.6369","38.39248"
"310.62","-31.31406"
"-0.9234613","-295.2362"
"278.4134","-113.8462"
"-185.5543","234.0866"
"-48.4216","231.2624"
"30.60375","267.9208"
"-155.1025","-23.31314"
"-177.1518","9.671134"
"303.8618","24.65186"
"-296.249","9.745075"
"292.9186","-128.2517"
"253.3448","-130.6093"
"134.3913","-93.36356"
"-204.4852","-107.9272"
"61.10488","-306.6068"
"252.8277","-89.32104"
"-149.4901","125.8299"
"-149.8419","141.9866"
"-188.4847","-94.24958"
"-29.60948","76.2627"
"22.73562","91.52665"
"-265.3403","7.723619"
"156.2306","176.1386"
"-36.78177","-42.94568"
"-101.616","-77.75723"
"13.30544","165.6958"
"210.2017","53.44801"
"-22.91702","-139.3271"
"-80.20392","-8.497176"
"130.3099","-235.881"
"81.35143","-74.82159"
"51.67196","-36.67901"
"65.2056","-244.784"
"-36.2029","-84.33133"
"-45.30278","95.45403"
"131.8248","-221.6075"
"14.45161","191.389"
"90.77222","-59.23227"
"236.1581","-207.9411"
"215.0357","-214.4289"
"215.551","-129.6625"
"-43.43646","-238.6465"
"86.65953","105.1107"
"123.4754","93.64814"
"114.3136","1.92915"
"246.8509","-55.96494"
"-227.4077","52.92581"
"-178.1967","60.67335"
"44.61811","118.2999"
"109.0811","-164.2908"
"224.5906","-71.54026"
"172.1953","57.66133"
"75.57154","-294.2643"
"226.3302","176.6781"
"140.2928","88.43291"
"245.3566","-208.8963"
"-8.748319","-68.27178"
"-51.51462","138.3263"
"-86.21912","-102.8627"
"263.9373","-181.6425"
"146.5913","-124.3252"
"-25.32828","-232.9421"
"110.1811","-192.1474"
"-15.75627","38.60949"
"160.9475","181.3681"
"183.7863","19.88665"
"-140.8615","-122.8295"
"40.26672","93.65008"
"110.1224","92.13053"
"258.8011","-36.64685"
"132.1793","-79.75608"
"116.7313","79.05163"
"143.1541","-185.2009"
"92.49717","60.03422"
"181.4219","-73.73399"
"23.21458","18.79032"
"168.466","-93.00967"
"143.2147","-103.4817"
"242.4592","-186.4504"
"37.72554","113.828"
"-81.67981","136.8891"
"92.60226","-234.7108"
"13.07451","73.06157"
"-164.7781","117.1339"
"92.32454","-48.62033"
"3.192288","-58.18043"
"18.93419","-256.0747"
"-292.8751","1.822047"
"162.1584","-271.7851"
"-188.3262","-90.39651"
"-39.08417","231.8306"
"-246.0821","-113.3223"
"67.67218","-82.04823"
"-5.617383","-210.6633"
"217.1662","156.8846"
"131.4592","94.1152"
"78.21551","67.1608"
"280.8188","-56.00512"
"-24.76409","-242.8402"
"268.9361","117.087"
"177.4522","-56.25137"
"83.91512","-50.44924"
"-91.98701","-71.33378"
"191.7274","-80.42191"
"-216.3071","-43.16397"
"-90.57465","109.3851"
"-129.4205","163.4931"
"-43.5984","-63.97512"
"-104.8531","126.1154"
"-68.13572","-317.4912"
"-179.1916","168.1857"
"-135.6349","36.97797"
"-190.4936","118.2742"
"-81.33575","179.892"
"8.535653","28.84018"
"76.98103","10.41711"
"-225.894","-68.92732"
"93.5176","-109.4751"
"-15.74804","184.8444"
"-81.58989","271.4504"
"254.7007","17.62541"
"-19.09283","-145.618"
"-48.41603","-74.22633"
"243.4418","127.0342"
"305.7727","53.92418"
"-148.4151","132.4475"
"281.3105","105.6351"
"131.4818","-122.0171"
"-15.39584","-20.47411"
"-299.1406","-98.79306"
"276.5648","25.639"
"25.90404","-69.25977"
"106.3112","-63.51097"
"-133.7695","-10.46124"
"-94.93391","-85.87825"
"-26.94211","-88.36052"
"-21.02274","-277.6518"
"-58.97281","-163.6947"
"59.69898","114.5438"
"6.100116","197.4359"
"-23.67699","-147.3616"
"-33.82983","260.0578"
"224.3387","-56.54734"
"-128.6394","-297.6581"
"-22.67992","236.7378"
"-66.87672","-255.999"
"-86.18365","81.01176"
"286.65","44.83337"
"240.3738","-103.5181"
"244.1739","75.28585"
"-157.9262","-67.4707"
"-223.7193","-37.70762"
"-98.14251","158.9131"
"169.7207","145.772"
"145.353","131.2385"
"177.3994","23.05551"
"-58.05397","133.3251"
"-60.6049","266.3807"
"-15.53505","-130.3272"
"-44.72258","252.8668"
"-60.21746","-299.4404"
"-102.53","-208.5619"
"36.75062","177.1945"
"212.7662","-13.09567"
"-211.6984","-3.755445"
"-71.25678","-101.7373"
"-54.40254","79.02041"
"200.0156","125.8532"
"45.44855","273.6464"
"196.9405","209.2667"
"-52.53589","-76.65352"
"-225.3317","-115.6218"
"73.26612","-49.04287"
"276.5182","-49.09028"
"-89.12308","-235.065"
"206.5847","-64.03439"
"211.102","174.3433"
"-67.74011","314.2108"
"291.7389","-59.67935"
"122.9505","97.44844"
"-51.09733","-86.07468"
